data,ano,mes,regiao,bioma,focos_observados,cidade_ref,lat_ref,lon_ref,temperatura_c,temperatura_max_c,temperatura_min_c,umidade_pct,precipitacao_mm,vento_ms,vento_kmh,focos_dia_anterior,focos_acumulados_7d,media_focos_7d,media_focos_15d,chuva_acumulada_7d,umidade_media_7d,temperatura_media_7d,dias_sem_chuva,focos_proximo_dia,limiar_risco_bioma,risco_alto_queimada,dia_do_ano
2025-01-01,2025,1,Centro-Oeste,Amazônia,168,Manaus,-3.119,-60.0217,27.08,29.65,25.21,86.59,3.76,1.31,4.716,0.0,0.0,0.0,0.0,0.0,86.59,27.08,0,7.0,152.25,0,1
2025-01-02,2025,1,Centro-Oeste,Amazônia,7,Manaus,-3.119,-60.0217,26.5,28.88,24.78,88.44,11.84,1.23,4.428,168.0,168.0,168.0,168.0,3.76,86.59,27.08,0,36.0,152.25,0,2
2025-01-03,2025,1,Centro-Oeste,Amazônia,36,Manaus,-3.119,-60.0217,26.63,29.43,25.09,91.1,6.88,1.02,3.672,7.0,175.0,87.5,87.5,15.6,87.515,26.79,0,10.0,152.25,0,3
2025-01-04,2025,1,Centro-Oeste,Amazônia,10,Manaus,-3.119,-60.0217,26.21,26.86,25.6,93.97,26.07,1.22,4.392,36.0,211.0,70.33333333333333,70.33333333333333,22.48,88.71,26.736666666666665,0,13.0,152.25,0,4
2025-01-05,2025,1,Centro-Oeste,Amazônia,13,Manaus,-3.119,-60.0217,26.02,28.54,24.29,89.07,15.27,1.15,4.14,10.0,221.0,55.25,55.25,48.55,90.025,26.605,0,8.0,152.25,0,5
2025-01-06,2025,1,Centro-Oeste,Amazônia,8,Manaus,-3.119,-60.0217,26.51,29.99,23.78,87.12,2.65,1.06,3.816,13.0,234.0,46.8,46.8,63.82,89.83399999999999,26.488,0,60.0,152.25,0,6
2025-01-07,2025,1,Centro-Oeste,Amazônia,60,Manaus,-3.119,-60.0217,26.32,27.71,25.05,89.94,6.75,1.06,3.816,8.0,242.0,40.333333333333336,40.333333333333336,66.47,89.38166666666666,26.491666666666664,0,18.0,152.25,0,7
2025-01-08,2025,1,Centro-Oeste,Amazônia,18,Manaus,-3.119,-60.0217,26.55,29.18,24.67,87.88,4.1,1.09,3.924,60.0,302.0,43.142857142857146,43.142857142857146,73.22,89.46142857142857,26.467142857142857,0,1.0,152.25,0,8
2025-01-10,2025,1,Centro-Oeste,Amazônia,1,Manaus,-3.119,-60.0217,27.42,30.78,24.83,81.69,0.13,1.13,4.068,18.0,152.0,21.714285714285715,40.0,73.56,89.64571428571428,26.39142857142857,1,11.0,152.25,0,10
2025-01-11,2025,1,Centro-Oeste,Amazônia,11,Manaus,-3.119,-60.0217,27.21,29.68,25.27,83.92,1.05,1.16,4.176,1.0,146.0,20.857142857142858,35.666666666666664,61.85,88.68142857142857,26.522857142857145,0,3.0,152.25,0,11
2025-01-12,2025,1,Centro-Oeste,Amazônia,3,Manaus,-3.119,-60.0217,27.06,30.11,25.16,89.1,4.53,1.25,4.5,11.0,121.0,17.285714285714285,33.2,56.02,87.6557142857143,26.60571428571429,0,11.0,152.25,0,12
2025-01-13,2025,1,Centro-Oeste,Amazônia,11,Manaus,-3.119,-60.0217,27.78,31.52,24.85,81.55,2.03,1.08,3.888,3.0,114.0,16.285714285714285,30.454545454545453,34.480000000000004,86.96,26.72714285714286,0,1.0,152.25,0,13
2025-01-14,2025,1,Centro-Oeste,Amazônia,1,Manaus,-3.119,-60.0217,26.99,28.49,25.54,89.39,11.18,0.99,3.564,11.0,112.0,16.0,28.833333333333332,21.240000000000002,85.88571428571429,26.978571428571428,0,8.0,152.25,0,14
