data,ano,mes,regiao,bioma,focos_observados
2025-01-01,2025,1,Centro-Oeste,Amazônia,168
2025-01-01,2025,1,Nordeste,Amazônia,234
2025-01-01,2025,1,Norte,Amazônia,272
2025-01-01,2025,1,Nordeste,Caatinga,598
2025-01-01,2025,1,Centro-Oeste,Cerrado,51
2025-01-01,2025,1,Nordeste,Cerrado,133
2025-01-01,2025,1,Norte,Cerrado,34
2025-01-01,2025,1,Sudeste,Cerrado,17
2025-01-01,2025,1,Centro-Oeste,Mata Atlântica,23
2025-01-01,2025,1,Nordeste,Mata Atlântica,320
2025-01-01,2025,1,Sudeste,Mata Atlântica,89
2025-01-01,2025,1,Sul,Mata Atlântica,24
2025-01-01,2025,1,Sul,Pampa,7
2025-01-01,2025,1,Centro-Oeste,Pantanal,75
2025-01-02,2025,1,Centro-Oeste,Amazônia,7
2025-01-02,2025,1,Nordeste,Amazônia,375
2025-01-02,2025,1,Norte,Amazônia,736
2025-01-02,2025,1,Nordeste,Caatinga,1189
2025-01-02,2025,1,Centro-Oeste,Cerrado,22
2025-01-02,2025,1,Nordeste,Cerrado,455
2025-01-02,2025,1,Norte,Cerrado,10
2025-01-02,2025,1,Sudeste,Cerrado,10
2025-01-02,2025,1,Centro-Oeste,Mata Atlântica,4
2025-01-02,2025,1,Nordeste,Mata Atlântica,262
2025-01-02,2025,1,Sudeste,Mata Atlântica,80
2025-01-02,2025,1,Sul,Mata Atlântica,22
2025-01-02,2025,1,Sul,Pampa,20
2025-01-02,2025,1,Centro-Oeste,Pantanal,7
2025-01-03,2025,1,Centro-Oeste,Amazônia,36
2025-01-03,2025,1,Nordeste,Amazônia,157
2025-01-03,2025,1,Norte,Amazônia,521
2025-01-03,2025,1,Nordeste,Caatinga,1795
2025-01-03,2025,1,Sudeste,Caatinga,6
2025-01-03,2025,1,Centro-Oeste,Cerrado,83
2025-01-03,2025,1,Nordeste,Cerrado,513
2025-01-03,2025,1,Norte,Cerrado,24
2025-01-03,2025,1,Sudeste,Cerrado,14
2025-01-03,2025,1,Centro-Oeste,Mata Atlântica,7
2025-01-03,2025,1,Nordeste,Mata Atlântica,579
2025-01-03,2025,1,Sudeste,Mata Atlântica,21
2025-01-03,2025,1,Sul,Mata Atlântica,80
2025-01-03,2025,1,Sul,Pampa,110
2025-01-03,2025,1,Centro-Oeste,Pantanal,9
2025-01-04,2025,1,Centro-Oeste,Amazônia,10
2025-01-04,2025,1,Nordeste,Amazônia,73
2025-01-04,2025,1,Norte,Amazônia,481
2025-01-04,2025,1,Nordeste,Caatinga,1705
2025-01-04,2025,1,Sudeste,Caatinga,1
2025-01-04,2025,1,Centro-Oeste,Cerrado,20
2025-01-04,2025,1,Nordeste,Cerrado,592
2025-01-04,2025,1,Norte,Cerrado,97
2025-01-04,2025,1,Sudeste,Cerrado,9
2025-01-04,2025,1,Centro-Oeste,Mata Atlântica,3
2025-01-04,2025,1,Nordeste,Mata Atlântica,334
2025-01-04,2025,1,Sudeste,Mata Atlântica,24
2025-01-04,2025,1,Sul,Mata Atlântica,141
2025-01-04,2025,1,Sul,Pampa,55
2025-01-04,2025,1,Centro-Oeste,Pantanal,1
2025-01-05,2025,1,Centro-Oeste,Amazônia,13
2025-01-05,2025,1,Nordeste,Amazônia,271
2025-01-05,2025,1,Norte,Amazônia,178
2025-01-05,2025,1,Nordeste,Caatinga,766
2025-01-05,2025,1,Sudeste,Caatinga,1
2025-01-05,2025,1,Centro-Oeste,Cerrado,85
2025-01-05,2025,1,Nordeste,Cerrado,160
2025-01-05,2025,1,Norte,Cerrado,20
2025-01-05,2025,1,Sudeste,Cerrado,28
2025-01-05,2025,1,Centro-Oeste,Mata Atlântica,10
2025-01-05,2025,1,Nordeste,Mata Atlântica,249
2025-01-05,2025,1,Sudeste,Mata Atlântica,25
2025-01-05,2025,1,Sul,Mata Atlântica,69
2025-01-05,2025,1,Sul,Pampa,43
2025-01-05,2025,1,Centro-Oeste,Pantanal,5
2025-01-06,2025,1,Centro-Oeste,Amazônia,8
2025-01-06,2025,1,Nordeste,Amazônia,8
2025-01-06,2025,1,Norte,Amazônia,319
2025-01-06,2025,1,Nordeste,Caatinga,427
2025-01-06,2025,1,Centro-Oeste,Cerrado,89
2025-01-06,2025,1,Nordeste,Cerrado,77
2025-01-06,2025,1,Sudeste,Cerrado,26
2025-01-06,2025,1,Sul,Cerrado,1
